Date,Open,High,Low,Close,Adj Close,Volume
2022-05-13,1.420000,1.480000,1.410000,1.450000,1.450000,43200
2022-05-16,1.110000,1.420000,1.060000,1.390000,1.390000,67900
2022-05-17,1.510000,1.510000,1.400000,1.450000,1.450000,27800
2022-05-18,1.390000,1.390000,1.300000,1.340000,1.340000,24200
2022-05-19,1.440000,1.500000,1.430000,1.500000,1.500000,18500
2022-05-20,1.550000,1.620000,1.450000,1.470000,1.470000,22300
2022-05-23,1.540000,1.610000,1.540000,1.600000,1.600000,45800
2022-05-24,1.580000,1.600000,1.450000,1.500000,1.500000,25700
2022-05-25,1.470000,1.530000,1.470000,1.510000,1.510000,8700
2022-05-26,1.450000,1.510000,1.450000,1.480000,1.480000,18000
2022-05-27,1.470000,1.530000,1.410000,1.460000,1.460000,22100
2022-05-31,1.440000,1.480000,1.400000,1.430000,1.430000,30800
2022-06-01,1.400000,1.420000,1.400000,1.400000,1.400000,7800
2022-06-02,1.370000,1.460000,1.370000,1.430000,1.430000,23600
2022-06-03,1.400000,1.490000,1.400000,1.480000,1.480000,16200
2022-06-06,1.590000,1.640000,1.550000,1.600000,1.600000,24000
2022-06-07,1.610000,1.700000,1.590000,1.620000,1.620000,43100
2022-06-08,1.620000,1.620000,1.550000,1.570000,1.570000,10100
2022-06-09,1.650000,1.700000,1.570000,1.590000,1.590000,16300
2022-06-10,1.690000,1.690000,1.550000,1.620000,1.620000,44300
2022-06-13,1.440000,1.570000,1.430000,1.460000,1.460000,33500
2022-06-14,1.430000,1.620000,1.430000,1.510000,1.510000,29600
2022-06-15,1.540000,1.540000,1.450000,1.480000,1.480000,16800
2022-06-16,1.450000,1.520000,1.390000,1.440000,1.440000,39000
2022-06-17,1.460000,1.490000,1.400000,1.480000,1.480000,18800
2022-06-21,1.440000,1.490000,1.400000,1.490000,1.490000,28500
2022-06-22,1.470000,1.500000,1.430000,1.500000,1.500000,10200
2022-06-23,1.520000,1.520000,1.470000,1.490000,1.490000,9600
2022-06-24,1.460000,1.510000,1.430000,1.500000,1.500000,16600
2022-06-27,1.500000,1.520000,1.460000,1.510000,1.510000,20200
2022-06-28,1.450000,1.550000,1.440000,1.520000,1.520000,16300
2022-06-29,1.480000,1.550000,1.480000,1.490000,1.490000,15700
2022-06-30,1.500000,1.520000,1.450000,1.470000,1.470000,8700
2022-07-01,1.460000,1.600000,1.430000,1.540000,1.540000,15700
2022-07-05,1.590000,1.600000,1.550000,1.590000,1.590000,35500
2022-07-06,1.580000,1.620000,1.550000,1.610000,1.610000,9900
2022-07-07,1.590000,1.610000,1.530000,1.600000,1.600000,14200
2022-07-08,1.530000,1.610000,1.530000,1.550000,1.550000,15800
2022-07-11,1.560000,1.580000,1.520000,1.580000,1.580000,8800
2022-07-12,1.540000,1.600000,1.540000,1.550000,1.550000,15900
2022-07-13,1.540000,1.600000,1.540000,1.590000,1.590000,13800
2022-07-14,1.580000,1.650000,1.580000,1.600000,1.600000,17100
2022-07-15,1.580000,1.650000,1.570000,1.620000,1.620000,10000
2022-07-18,1.650000,1.660000,1.590000,1.630000,1.630000,13700
2022-07-19,1.690000,1.700000,1.650000,1.700000,1.700000,19000
2022-07-20,1.720000,1.760000,1.710000,1.740000,1.740000,15200
